from,to,weight
MA,PA,4
MA,LA,3
MA,LE,3
MA,SI,3
MA,EL,2
PA,MA,4
PA,LA,3
PA,LE,3
PA,SI,3
PA,GE,2
LA,LE,1
LA,MA,1
LA,PA,1
LA,SI,1
LA,BI,2
LA,TH,2
LA,GE,2
LE,LA,1
LE,MA,1
LE,PA,1
LE,SI,1
LE,BI,2
LE,TH,2
SI,LA,1
SI,MA,1
SI,PA,1
SI,LE,1
SI,BI,2
SI,TH,2
BI,TH,1
BI,EL,1
BI,GE,1
BI,AN,1
BI,LA,2
BI,LE,2
BI,SI,2
TH,BI,1
TH,EL,1
TH,GE,1
TH,AN,1
TH,LA,2
TH,LE,2
TH,SI,2
EL,MA,2
EL,BI,3
EL,TH,3
EL,AN,3
EL,GE,4
GE,PA,2
GE,BI,3
GE,TH,3
GE,AN,3
GE,EL,4
AN,BI,1
AN,TH,1
AN,EL,1
AN,GE,1
AN,LA,2
AN,LE,2
