from,to,weight,relationship,time
B,V,3,,2020
B,R,3,,2020
B,L,3,,2020
B,S,3,,2020
B,K,3,,2020
B,D,3,,2020
B,F,3,,2020
B,M,3,,2020
B,C,3,,2020
R,B,3,,
R,V,2,,
R,L,2,,
R,S,2,,
R,K,0,,
R,D,0,,
R,F,2,,
R,M,0,,
R,C,2,,
S,V,0,,
S,R,2,,
S,L,0,,
S,K,0,,
S,D,0,,
S,F,0,,
S,M,0,,
S,C,0,,
M,R,0,,
M,S,0,,
M,L,2,,
M,K,0,,
M,C,0,,
M,D,3,,
M,V,0,,
M,F,2,,
V,R,2,,2017
V,L,0,,
V,S,0,,
V,K,2,,2019
V,D,0,,
V,F,0,,
V,M,0,,
V,C,2,,2019
V,B,3,,
F,R,2,,2018
F,L,0,,
F,S,0,,
F,K,0,,
F,D,0,,
F,V,0,,
F,M,0,,
F,C,0,,
F,B,3,,2020
L,R,2,,2017
L,B,3,,2020
L,S,0,,
L,V,0,,
L,K,2,,2019
L,D,0,,
L,F,0,,
L,M,2,,2019
L,C,0,,
C,V,2,,2019
C,R,2,,2019
C,B,3,,2020
C,S,0,,
C,K,0,,
C,D,0,,
C,F,0,,
C,M,0,,
K,V,2,,2019
K,R,0,,
K,B,3,,2020
K,S,0,,
K,C,0,,
K,D,0,,
K,F,0,,
K,M,0,,
K,L,2,,2019
D,V,0,,
D,R,0,,
D,B,3,,
D,S,0,,
D,C,0,,
D,K,0,,
D,F,0,,
D,M,2,,2019
D,L,0,,
