from,to,weight,relationship,time
B,V,3,,2020
B,R,3,,2020
B,L,3,,2020
B,S,3,,2020
B,K,3,,2020
B,D,3,,2020
B,F,3,,2020
B,M,3,,2020
B,C,3,,2020
R,V,0,,
R,L,0,,
R,S,0,,
R,K,NA,,
R,D,NA,,
R,F,0,,
R,M,NA,,
R,C,0,,
S,V,NA,,
S,L,NA,,
S,K,NA,,
S,D,NA,,
S,F,NA,,
S,M,NA,,
S,C,NA,,
M,L,0,,
M,K,NA,,
M,C,NA,,
M,D,3,,
M,V,NA,,
M,F,0,,
V,L,NA,,
V,K,0,,2019
V,D,NA,,
V,F,NA,,
V,C,0,,2019
F,L,NA,,
F,K,NA,,
F,D,NA,,
F,C,NA,,
L,K,0,,2019
L,D,NA,,
L,C,NA,,
C,K,NA,,
C,D,NA,,
K,D,NA,,
